date,schmidt.stability_mean,schmidt.stability_median,schmidt.stability_min,schmidt.stability_max,schmidt.stability_sd,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag,schmidt.stability_mean_diff,schmidt.stability_median_diff,schmidt.stability_min_diff,schmidt.stability_max_diff,schmidt.stability_sd_diff
2013-05-23,140.65963304585574,147.4186870513953,92.53145779028623,166.96437066543075,19.359689902901966,87.6356088866806,89.63386516808782,67.15338809097265,101.47831794454395,8.654780786234276,53.02402415917514,57.78482188330747,25.37806969931357,65.4860527208868,10.70490911666769
2013-05-30,86.04720207475779,80.8831566724111,57.97123020682181,114.96627005542496,14.118334023107073,140.65963304585574,147.4186870513953,92.53145779028623,166.96437066543075,19.359689902901966,-54.61243097109795,-66.53553037898419,-34.56022758346442,-51.99810061000579,-5.241355879794893
2013-06-06,211.1747680315793,211.13852099034875,192.82373353856624,239.0275887194389,10.298290974079757,86.04720207475779,80.8831566724111,57.97123020682181,114.96627005542496,14.118334023107073,125.12756595682151,130.25536431793765,134.85250333174443,124.06131866401395,-3.8200430490273156
2013-06-13,158.74928665569516,159.36065536452867,131.17051805219182,176.97401949379883,9.645172969163015,211.1747680315793,211.13852099034875,192.82373353856624,239.0275887194389,10.298290974079757,-52.42548137588415,-51.777865625820084,-61.65321548637442,-62.053569225640075,-0.6531180049167418
2013-06-20,216.35432119627745,220.15081986045334,189.97151519976074,232.9494804315608,10.871728727231948,158.74928665569516,159.36065536452867,131.17051805219182,176.97401949379883,9.645172969163015,57.605034540582295,60.79016449592467,58.80099714756892,55.975460937761966,1.2265557580689332
2013-06-27,387.1623236568164,385.9058059770663,361.98471489102934,417.71997599509587,13.823864808099055,216.35432119627745,220.15081986045334,189.97151519976074,232.9494804315608,10.871728727231948,170.80800246053894,165.75498611661294,172.0131996912686,184.77049556353506,2.952136080867106
2013-07-03,421.26123996440276,421.3428689913944,401.84447036089927,461.84910887673357,10.434964242971468,381.15659461175755,379.97003777110723,359.20071181188246,408.8997419850285,10.539006539926929,40.10464535264521,41.372831220287196,42.64375854901681,52.94936689170504,-0.10404229695546086
2013-07-11,551.3403518974137,551.8200665358061,521.1208091630527,591.1257645362507,17.987948771189856,457.40631254559173,458.21243559950676,425.59953639156765,490.67580788784977,18.618423995691433,93.93403935182198,93.6076309362993,95.52127277148509,100.44995664840093,-0.630475224501577
2013-07-18,629.6855331937189,628.6924264811715,575.8566553303446,695.5859761694865,20.55601371984691,551.3403518974137,551.8200665358061,521.1208091630527,591.1257645362507,17.987948771189856,78.34518129630521,76.87235994536547,54.73584616729181,104.46021163323576,2.568064948657053
2013-07-25,494.5533525085217,496.8976189051813,456.2832178221416,543.1103764156429,15.554304167008208,629.6855331937189,628.6924264811715,575.8566553303446,695.5859761694865,20.55601371984691,-135.13218068519723,-131.79480757599026,-119.57343750820297,-152.47559975384354,-5.001709552838701
