date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2014-07-23,91.12166666666667,147.4962,185.76033333333334,297.0303333333333,431.90866666666665,621.5013333333334,905.8946666666667,91.12166666666667,NA,NA,NA,NA
2014-07-30,44.71,131.14946666666665,209.69833333333332,360.94,534.3866666666667,720.1469999999999,966.2953333333334,NA,NA,NA,NA,NA
2014-08-06,83.16333333333333,141.87206666666665,193.6798,299.78813333333335,407.6931333333333,617.3914666666667,942.0798,83.16333333333333,NA,NA,NA,NA
2014-08-12,92.67626666666666,139.764,191.96233333333333,345.254,508.48566666666665,665.3838,877.7254666666666,NA,NA,NA,NA,NA
2014-08-20,47.75833333333333,104.5176,205.56113333333334,380.0994666666667,572.5944666666667,845.6051333333334,1131.1634666666666,NA,NA,NA,NA,NA
2014-08-27,82.20333333333333,133.50833333333333,182.41833333333332,279.28,418.295,623.8561333333333,990.8894666666666,82.20333333333333,NA,NA,NA,NA
2014-09-04,50.62,137.17166666666665,194.95,310.54333333333335,468.37,710.6949999999999,933.54,64.49833333333333,NA,NA,NA,NA
2014-09-10,61.82,140.29666666666665,203.31833333333333,380.37666666666667,521.78,715.0849999999999,1048.3466666666666,NA,NA,NA,79.15666666666667,145.88666666666666
2014-09-17,49.748333333333335,99.865,141.95166666666665,360.3016666666667,591.1566666666666,794.475,1112.9366666666667,49.545,NA,NA,NA,NA
2014-09-25,36.513333333333335,94.26833333333333,177.32999999999998,387.01166666666666,584.2983333333333,768.5083333333333,1139.7233333333334,NA,NA,NA,NA,NA
2014-10-03,67.83333333333333,136.36833333333334,201.57999999999998,347.4433333333333,457.00333333333333,619.46,1021.6433333333333,NA,NA,NA,NA,NA
2014-10-10,83.35166666666666,211.94333333333333,352.2966666666667,553.4933333333333,751.16,952.74,1208.1633333333334,83.35166666666666,211.94333333333333,NA,NA,NA
2015-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-05,19.191666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-11,93.73266666666666,112.431,129.806,174.28433333333334,224.781,NA,NA,93.73266666666666,NA,NA,NA,NA
2015-06-19,86.53166666666667,159.41833333333332,215.28226666666666,350.36726666666664,496.5722666666667,664.817,757.457,86.53166666666667,NA,NA,NA,NA
2015-06-25,66.89666666666666,163.26333333333332,244.22166666666666,369.9765,532.3231666666667,708.3376,998.1775,66.89666666666666,NA,NA,NA,NA
2015-07-02,86.38333333333333,177.61333333333334,224.23833333333334,428.0644,544.0957333333333,788.3174,1076.4189,96.12833333333333,NA,NA,NA,NA
2015-07-09,55.608333333333334,146.60999999999999,221.64,326.40166666666664,431.94666666666666,656.185,976.0423999999999,80.1,NA,NA,NA,NA
2015-07-16,75.23833333333333,165.41666666666666,238.02166666666668,364.3958,520.3824666666667,742.0224666666667,952.3291333333333,78.75333333333333,NA,NA,NA,NA
2015-07-23,85.13166666666666,172.49166666666667,239.16166666666666,371.62666666666667,518.0616666666666,756.0833333333334,1038.4441333333334,85.13166666666666,172.49166666666667,NA,NA,NA
2015-07-30,76.21833333333333,124.50666666666666,173.66,289.1116666666667,441.80333333333334,680.965,959.865,76.21833333333333,NA,NA,NA,NA
2015-08-06,88.66666666666667,177.20666666666665,238.11499999999998,413.14166666666665,587.2466666666667,760.9066666666666,1029.05,88.66666666666667,177.20666666666665,238.11499999999998,NA,NA
2015-08-13,74.86833333333334,154.20946666666666,238.65113333333332,384.98946666666666,513.5678,751.6827999999999,1100.8144666666667,77.77113333333334,159.24946666666668,NA,NA,NA
2015-08-20,118.03333333333333,188.66833333333332,233.725,330.1333333333333,450.5883333333333,689.2394666666667,964.1561333333333,NA,NA,NA,NA,NA
2015-08-25,66.64666666666666,125.16333333333333,197.855,315.3066666666667,503.97499999999997,645.4399999999999,920.1044666666667,NA,NA,NA,67.61333333333333,NA
2015-09-03,63.80833333333333,116.155,162.47166666666666,318.50166666666667,442.5283333333333,670.8483333333334,919.5083333333333,NA,NA,NA,NA,NA
2015-09-10,56.906666666666666,132.40333333333334,192.845,339.16499999999996,453.7933333333333,616.265,896.3216666666666,70.52333333333333,NA,NA,NA,NA
2015-09-17,54.1376,105.00093333333334,205.41593333333333,428.3942666666667,565.7876,758.6326,1019.5809333333333,56.195,108.73333333333333,219.09166666666667,NA,NA
2015-09-24,78.825,141.30166666666665,192.17166666666665,363.71166666666664,494.8283333333333,700.2442666666667,1060.6159333333333,NA,NA,NA,NA,NA
2015-10-02,108.79666666666667,222.37666666666667,339.36833333333334,463.5683333333333,565.6233333333333,763.8183333333333,1062.7683333333334,NA,NA,NA,NA,NA
